# Jpp getQE (highQE) — effective QE %, INCLUDES glass+gel absorption + collection eff
# source: nikhef.nl/~mjg/Jpp/public/KM3NeT_8hh_source.html
wavelength_nm,effective_qe_percent
280,0.0
285,0.0
290,0.0
295,0.2
300,0.3
305,2.3
310,3.9
315,9.1
320,13.7
325,19.5
330,25.2
335,28.9
340,33.0
345,34.6
350,36.6
355,37.5
360,38.3
365,38.2
370,37.8
375,36.8
380,36.3
385,36.8
390,37.3
395,36.6
400,36.5
405,36.2
410,35.5
415,35.2
420,34.7
425,34.1
430,33.7
435,33.2
440,32.6
445,31.8
450,31.1
455,30.1
460,29.1
465,28.4
470,27.6
475,27.0
480,26.2
485,25.8
490,25.2
495,24.0
500,22.8
505,20.9
510,19.1
515,17.1
520,15.3
525,14.0
530,12.9
535,12.3
540,11.6
545,11.3
550,10.7
555,10.3
560,9.6
565,9.1
570,8.6
575,8.0
580,7.3
585,6.6
590,5.9
595,5.3
600,4.7
605,4.0
610,3.4
615,2.9
620,2.5
625,2.1
630,1.6
635,1.3
640,1.0
645,0.8
650,0.6
655,0.5
660,0.4
665,0.3
670,0.2
675,0.1
680,0.1
685,0.1
690,0.0
695,0.0
700,0.0
705,0.0
