# ARCA 31-PMT DOM-local pointing directions (zenith 0=up,180=down; azimuth from +x)
# source: KM3NeT det_id 133 (D0ARCA021), floor-1 module, identity orientation
pmt_index,zenith_deg,azimuth_deg
0,56.29,270.00
1,72.84,180.00
2,72.84,240.00
3,72.85,300.00
4,56.30,330.00
5,56.29,210.00
6,72.85,0.00
7,56.28,150.00
8,56.29,30.00
9,56.29,90.00
10,72.84,60.00
11,72.84,120.00
12,107.15,90.00
13,123.71,60.00
14,148.21,90.01
15,107.16,30.00
16,107.15,150.00
17,123.71,120.00
18,148.21,150.00
19,148.21,30.01
20,123.71,180.00
21,123.72,0.00
22,180.00,150.52
23,107.16,330.00
24,148.21,269.99
25,148.22,330.00
26,148.21,209.99
27,107.15,210.00
28,123.71,240.00
29,123.72,300.00
30,107.16,270.00
